DataType;SortType;Threshold;Size;Time_ms
NearlySorted;Standard;0;59300;24.5311
NearlySorted;Standard;0;59400;25.9772
NearlySorted;Standard;0;59500;24.1827
NearlySorted;Standard;0;59600;24.5836
NearlySorted;Standard;0;59700;25.1849
NearlySorted;Standard;0;59800;25.3503
NearlySorted;Standard;0;59900;24.6221
NearlySorted;Standard;0;60000;25.4036
NearlySorted;Standard;0;60100;26.323
NearlySorted;Standard;0;60200;25.4622
NearlySorted;Standard;0;60300;24.7957
NearlySorted;Standard;0;60400;26.4009
NearlySorted;Standard;0;60500;25.1271
NearlySorted;Standard;0;60600;26.8174
NearlySorted;Standard;0;60700;24.8726
NearlySorted;Standard;0;60800;24.9703
NearlySorted;Standard;0;60900;26.2264
NearlySorted;Standard;0;61000;26.2993
NearlySorted;Standard;0;61100;25.9325
NearlySorted;Standard;0;61200;25.8543
NearlySorted;Standard;0;61300;25.0745
NearlySorted;Standard;0;61400;26.073
NearlySorted;Standard;0;61500;26.2537
NearlySorted;Standard;0;61600;26.511
NearlySorted;Standard;0;61700;26.4263
NearlySorted;Standard;0;61800;26.2074
NearlySorted;Standard;0;61900;26.9928
NearlySorted;Standard;0;62000;25.6444
NearlySorted;Standard;0;62100;26.2635
NearlySorted;Standard;0;62200;25.4749
NearlySorted;Standard;0;62300;26.3726
NearlySorted;Standard;0;62400;26.5281
NearlySorted;Standard;0;62500;26.7068
NearlySorted;Standard;0;62600;25.6329
NearlySorted;Standard;0;62700;25.8176
NearlySorted;Standard;0;62800;27.0736
NearlySorted;Standard;0;62900;25.9725
NearlySorted;Standard;0;63000;27.7138
NearlySorted;Standard;0;63100;28.5968
NearlySorted;Standard;0;63200;25.9375
NearlySorted;Standard;0;63300;26.2066
NearlySorted;Standard;0;63400;27.8643
NearlySorted;Standard;0;63500;26.3413
NearlySorted;Standard;0;63600;25.8768
NearlySorted;Standard;0;63700;27.0019
NearlySorted;Standard;0;63800;26.128
NearlySorted;Standard;0;63900;27.4462
NearlySorted;Standard;0;64000;27.4876
NearlySorted;Standard;0;64100;26.3877
NearlySorted;Standard;0;64200;26.6668
NearlySorted;Standard;0;64300;26.4288
NearlySorted;Standard;0;64400;26.2463
NearlySorted;Standard;0;64500;26.9481
NearlySorted;Standard;0;64600;26.7936
NearlySorted;Standard;0;64700;26.4118
NearlySorted;Standard;0;64800;27.458
NearlySorted;Standard;0;64900;27.5663
NearlySorted;Standard;0;65000;27.2583
NearlySorted;Standard;0;65100;28.6169
NearlySorted;Standard;0;65200;26.9408
NearlySorted;Standard;0;65300;28.5748
NearlySorted;Standard;0;65400;26.6964
NearlySorted;Standard;0;65500;28.6581
NearlySorted;Standard;0;65600;26.876
NearlySorted;Standard;0;65700;27.8028
NearlySorted;Standard;0;65800;27.1157
NearlySorted;Standard;0;65900;27.4047
NearlySorted;Standard;0;66000;27.8655
NearlySorted;Standard;0;66100;27.4552
NearlySorted;Standard;0;66200;28.5198
